Model,DataSet,MAE,MSE,RMSE,R2 Square,Cross Validation
kmeans Elkan,circles,0.496,0.496,0.7042726744663603,-0.984,
kmeans Lloyd,circles,0.5,0.5,0.7071067811865476,-1.0,
kmeans Manhatten,circles,0.484,0.484,0.6957010852370434,-0.9359999999999999,
"MiniBatch
KMeans",circles,0.5,0.5,0.7071067811865476,-1.0,
"Affinity
Propagation",circles,249.0,82837.996,287.8159064402105,-331350.984,
"Spectral
Clustering",circles,1.0,1.0,1.0,-3.0,
"Agglomerative
Clustering",circles,0.62,0.62,0.7874007874011811,-1.48,
DBSCAN,circles,0.0,0.0,0.0,1.0,
OPTICS,circles,1.056,1.812,1.3461054936371073,-6.248,
BIRCH,circles,0.488,0.488,0.6985699678629192,-0.952,
"Gaussian
Mixture",circles,0.486,0.486,0.697137002317335,-0.944,
kmeans Elkan,moons,0.148,0.148,0.3847076812334269,0.40800000000000003,
kmeans Lloyd,moons,0.148,0.148,0.3847076812334269,0.40800000000000003,
kmeans Manhatten,moons,0.876,0.876,0.9359487165438072,-2.504,
"MiniBatch
KMeans",moons,0.15,0.15,0.3872983346207417,0.4,
"Affinity
Propagation",moons,0.856,0.856,0.9252026804976302,-2.424,
"Spectral
Clustering",moons,1.0,1.0,1.0,-3.0,
"Agglomerative
Clustering",moons,0.846,0.846,0.9197825830053535,-2.384,
DBSCAN,moons,1.0,1.0,1.0,-3.0,
OPTICS,moons,1.0,1.0,1.0,-3.0,
BIRCH,moons,0.856,0.856,0.9252026804976302,-2.424,
"Gaussian
Mixture",moons,0.86,0.86,0.9273618495495703,-2.44,
kmeans Elkan,Anisotropical left,0.204,0.236,0.48579831205964474,0.6456435173784827,
kmeans Lloyd,Anisotropical left,1.312,2.124,1.4573949361789345,-2.189208343593656,
kmeans Manhatten,Anisotropical left,1.232,1.964,1.401427843308388,-1.9489666604604237,
"MiniBatch
KMeans",Anisotropical left,0.802,0.942,0.9705668446840743,-0.41442290944690385,
"Affinity
Propagation",Anisotropical left,0.968,1.628,1.2759310326189264,-1.4444591258806363,
"Spectral
Clustering",Anisotropical left,0.666,0.67,0.8185352771872451,-0.006012048120409341,
"Agglomerative
Clustering",Anisotropical left,0.648,0.648,0.8049844718999243,0.027021183310410035,
DBSCAN,Anisotropical left,1.422,2.97,1.7233687939614086,-3.4594862431606206,
OPTICS,Anisotropical left,1.37,2.754,1.6595180023127196,-3.135159970930757,
BIRCH,Anisotropical left,0.878,1.094,1.0459445491994306,-0.6426525084234744,
"Gaussian
Mixture",Anisotropical left,1.334,2.002,1.4149204924659193,-2.0060240602045663,
kmeans Elkan,Anisotropical right,1.5086666666666666,3.328666666666667,1.824463391429564,-0.6643333333333334,
kmeans Lloyd,Anisotropical right,1.8836666666666666,4.152333333333333,2.0377274924124014,-1.0761666666666665,
kmeans Manhatten,Anisotropical right,1.9706666666666666,5.495333333333333,2.344212732098632,-1.7476666666666665,
"MiniBatch
KMeans",Anisotropical right,1.9113333333333333,4.526666666666666,2.127596452964393,-1.2633333333333332,
"Affinity
Propagation",Anisotropical right,2.183666666666667,5.342333333333333,2.311348812562339,-1.6711666666666667,
"Spectral
Clustering",Anisotropical right,2.268666666666667,6.92,2.630589287593181,-2.46,
"Agglomerative
Clustering",Anisotropical right,1.999,5.997,2.448877293781785,-1.9985,
DBSCAN,Anisotropical right,1.4063333333333334,4.225666666666666,2.0556426407979247,-1.1128333333333331,
OPTICS,Anisotropical right,2.0,6.0,2.449489742783178,-2.0,
BIRCH,Anisotropical right,2.353666666666667,7.405666666666667,2.7213354564747556,-2.7028333333333334,
"Gaussian
Mixture",Anisotropical right,1.6113333333333333,3.244,1.8011107683871084,-0.6220000000000001,
kmeans Elkan,blob Cluster (3),1.334,2.002,1.4149204924659193,-2.0060240602045663,
kmeans Lloyd,blob Cluster (3),1.334,2.002,1.4149204924659193,-2.0060240602045663,
kmeans Manhatten,blob Cluster (3),0.666,0.666,0.8160882305241266,-6.006042078565699e-06,
"MiniBatch
KMeans",blob Cluster (3),1.332,1.996,1.4127986409959488,-1.9970149970870703,
"Affinity
Propagation",blob Cluster (3),0.666,0.666,0.8160882305241266,-6.006042078565699e-06,
"Spectral
Clustering",blob Cluster (3),1.332,2.664,1.6321764610482532,-3.0000240241683143,
"Agglomerative
Clustering",blob Cluster (3),1.334,2.002,1.4149204924659193,-2.0060240602045663,
DBSCAN,blob Cluster (3),1.332,1.996,1.4127986409959488,-1.9970149970870703,
OPTICS,blob Cluster (3),1.332,2.664,1.6321764610482532,-3.0000240241683143,
BIRCH,blob Cluster (3),1.334,2.002,1.4149204924659193,-2.0060240602045663,
"Gaussian
Mixture",blob Cluster (3),1.332,2.664,1.6321764610482532,-3.0000240241683143,
kmeans Elkan,blob Cluster (4),1.004,1.012,1.0059821071967434,0.1904,
